citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
frog2014,The Viking Age in Åland: Insights into Identity and Remnants of Culture,2014,F1,book,Frog E.,,0.889,2,0,False
furholt2018,Massive migrations? The impact of recent aDNA studies on our view of third millennium Europe,2018,F1,article,Furholt Martin,10.1017/eaa.2017.43,1.0,3,129,False
furholt2019,Re-integrating Archaeology: A Contribution to aDNA Studies and the Migration Discourse on the 3rd Millennium BC in Europe,2019,F1,article,Furholt Martin,10.1017/ppr.2019.4,0.917,2,75,False
gardela2008,Into Viking Minds: Reinterpreting the Staffs of Sorcery and Unraveling Seiðr. Viking and Medieval Scandinavia,2008,F1,article,Gardeła Leszek,,0.833,6,0,False
gardela2013,Dead or Alive? -'Chamber Graves' and Their Inhabitants in the Old Norse Literature and Viking-Age Archaeology,2013,F1,article,Gardeła,,0.889,18,0,False
gardela2012,The head motif in past societies in a comparative perspective. A monograph based on the proceedings of the 1st International Interdisciplinary Meetings 'Motifs Through The Ages' organized at the West-Cassubian Museum in Bytów between 13th-14th,2012,F1,article,Gardeła ;. L.,,1.0,12,0,False
gardela2015,Uzbrojona kobieta z truso. Nowe rozważania nad miniaturami tzw. walkirii z epoki wikingów' (The Armed Female from truso,2015,F1,article,Gardeła Leszek,,0.917,7,48,False
gardela2018,Amazons of the North? Armed females in Viking archaeology and medieval literature,2018,F1,article,Gardeła Leszek,10.1515/9783110569483-024,0.778,3,182,False
gerds2015,"Das Gräberfeld des frühmittelalterlichen Seehandelsplatzes von Groß Strömkendorf, Lkr",2015,F1,book,Gerds M.,,0.889,2,0,False
gjerpe2008,"E18-prosjektet Vestfold -Bind 3 -Hus, boplass-og dyrkningsspor, Varia 73",2008,F1,book,Gjerpe L. E.,,0.778,3,0,False
gjerpe2017,"Effektive hus: bosetning, jord og rettigheter pa Ostlandet i jernalder: B. 1. Unpublished PhD thesis",2017,F1,article,Gjerpe L. E.,,0.75,2,0,False
glorstad2012,Sign of the times? The transfer and transformation of Pennannular Brooches in Viking-Age Norway,2012,F1,article,Glörstad Tsigaridas,,0.917,8,125,False
