"round","edges_removed","n_components","modularity"
850,850,18,0.210801166599464
851,851,18,0.21081369550034
852,852,18,0.210826225882376
853,853,18,0.210838757745832
854,854,18,0.21085129109097
855,855,18,0.210863825918051
856,856,18,0.210876362227336
857,857,18,0.210888900019085
858,858,18,0.210901439293562
859,859,18,0.210913980051026
860,860,18,0.210926522291739
861,861,18,0.210939066015963
862,862,18,0.210951611223958
863,863,18,0.210964157915988
864,864,18,0.210976706092313
865,865,18,0.210989255753195
866,866,18,0.211001806898896
867,867,18,0.211014359529677
868,868,18,0.211026913645801
869,869,19,0.22920016137574
870,870,19,0.229213716358841
871,871,19,0.229227272934813
872,872,19,0.229240831103931
873,873,19,0.229254390866474
874,874,19,0.229267952222722
875,875,19,0.229281515172954
876,876,19,0.229295079717447
877,877,19,0.229308645856482
878,878,19,0.229322213590337
879,879,19,0.229335782919291
880,880,19,0.229349353843623
881,881,19,0.229362926363613
882,882,19,0.229376500479539
883,883,19,0.229390076191682
884,884,19,0.22940365350032
885,885,19,0.229417232405732
886,886,19,0.229430812908199
887,887,19,0.229444395008
888,888,19,0.229457978705414
889,889,19,0.229471564000722
890,890,19,0.229485150894203
891,891,19,0.229498739386136
892,892,19,0.229512329476803
893,893,19,0.229525921166482
894,894,19,0.229539514455453
895,895,19,0.229553109343998
896,896,19,0.229566705832395
897,897,19,0.229580303920926
898,898,19,0.229593903609871
899,899,19,0.229607504899509
900,900,19,0.229621107790121
901,901,19,0.229634712281988
902,902,19,0.229648318375391
903,903,19,0.229661926070609
904,904,19,0.229675535367924
905,905,19,0.229689146267616
906,906,19,0.229702758769966
907,907,19,0.229716372875255
908,908,19,0.229729988583764
909,909,19,0.229743605895775
910,910,19,0.229757224811567
911,911,19,0.229770845331422
912,912,19,0.229784467455621
913,913,19,0.229798091184446
914,914,19,0.229811716518178
915,915,19,0.229825343457099
916,916,19,0.229838972001489
917,917,19,0.22985260215163
918,918,19,0.229866233907804
919,919,19,0.229879867270292
920,920,20,0.249862202558258
921,921,20,0.249876919785689
922,922,20,0.249891638733238
923,923,20,0.249906359401204
924,924,20,0.249921081789885
925,925,20,0.249935805899579
926,926,20,0.249950531730587
927,927,20,0.249965259283207
928,928,20,0.249979988557737
929,929,20,0.249994719554478
930,930,20,0.250009452273728
931,931,20,0.250024186715786
932,932,20,0.250038922880952
933,933,20,0.250053660769526
934,934,20,0.250068400381806
935,935,20,0.250083141718092
936,936,20,0.250097884778684
937,937,20,0.250112629563882
938,938,20,0.250127376073985
939,939,20,0.250142124309293
940,940,20,0.250156874270106
941,941,20,0.250171625956723
942,942,20,0.250186379369446
943,943,20,0.250201134508573
944,944,20,0.250215891374406
945,945,20,0.250230649967244
946,946,20,0.250245410287387
947,947,20,0.250260172335137
948,948,20,0.250274936110792
949,949,20,0.250289701614655
950,950,20,0.250304468847025
951,951,20,0.250319237808203
952,952,20,0.25033400849849
953,953,20,0.250348780918186
954,954,20,0.250363555067593
955,955,20,0.250378330947011
956,956,20,0.250393108556741
957,957,20,0.250407887897085
958,958,20,0.250422668968343
959,959,20,0.250437451770816
960,960,20,0.250452236304806
961,961,20,0.250467022570615
962,962,20,0.250481810568543
963,963,20,0.250496600298891
964,964,20,0.250511391761963
965,965,20,0.250526184958058
966,966,20,0.25054097988748
967,967,20,0.250555776550528
968,968,20,0.250570574947507
969,969,20,0.250585375078716
970,970,20,0.250600176944459
971,971,20,0.250614980545036
972,972,20,0.250629785880751
973,973,20,0.250644592951905
974,974,20,0.250659401758801
975,975,20,0.250674212301741
976,976,20,0.250689024581027
977,977,20,0.250703838596961
978,978,20,0.250718654349847
979,979,20,0.250733471839987
980,980,20,0.250748291067683
981,981,20,0.250763112033238
982,982,20,0.250777934736955
983,983,20,0.250792759179136
984,984,20,0.250807585360085
985,985,20,0.250822413280105
986,986,20,0.250837242939499
987,987,20,0.250852074338569
988,988,20,0.250866907477619
989,989,20,0.250881742356952
990,990,20,0.250896578976872
991,991,20,0.250911417337682
992,992,20,0.250926257439685
993,993,20,0.250941099283186
994,994,20,0.250955942868486
995,995,20,0.250970788195892
996,996,21,0.257639445906897
997,997,21,0.257654653958843
998,998,21,0.25766986379114
999,999,21,0.257685075404097
1000,1000,21,0.257700288798025
1001,1001,21,0.257715503973233
1002,1002,21,0.25773072093003
1003,1003,21,0.257745939668726
1004,1004,21,0.25776116018963
1005,1005,21,0.257776382493054
1006,1006,21,0.257791606579307
1007,1007,21,0.257806832448698
1008,1008,21,0.257822060101538
1009,1009,21,0.257837289538137
1010,1010,21,0.257852520758805
1011,1011,21,0.257867753763852
1012,1012,21,0.25788298855359
1013,1013,21,0.257898225128328
1014,1014,21,0.257913463488377
1015,1015,21,0.257928703634046
1016,1016,21,0.257943945565648
1017,1017,21,0.257959189283493
1018,1018,21,0.257974434787892
1019,1019,21,0.257989682079154
1020,1020,21,0.258004931157592
1021,1021,21,0.258020182023516
1022,1022,21,0.258035434677238
1023,1023,21,0.258050689119069
1024,1024,22,0.266897762890812
1025,1025,22,0.266913494401095
1026,1026,22,0.266929227749072
1027,1027,22,0.26694496293506
1028,1028,22,0.266960699959379
1029,1029,22,0.266976438822346
1030,1030,22,0.26699217952428
1031,1031,22,0.267007922065501
1032,1032,22,0.267023666446327
1033,1033,22,0.267039412667077
1034,1034,22,0.26705516072807
1035,1035,22,0.267070910629624
1036,1036,22,0.267086662372059
1037,1037,22,0.267102415955695
1038,1038,22,0.26711817138085
1039,1039,22,0.267133928647843
1040,1040,22,0.267149687756994
1041,1041,22,0.267165448708623
1042,1042,22,0.267181211503049
1043,1043,22,0.267196976140591
1044,1044,22,0.26721274262157
1045,1045,22,0.267228510946304
