"round","from","to"
704,"frei2015","dugmore2007"
705,"vesteinsson2012","eldjarn2000"
706,"sutherland2009","wallace2003"
707,"schmid2017","latour1984"
708,"schmid2017","larsen2000"
709,"arneborg2012","muldner2007"
710,"leonard2011","barret2005"
711,"dugmore2007","vesteinsson2000"
712,"jarman2018","ambrose1999"
713,"keller2016","osullivan2008"
714,"keller2016","kristjansdottir2004"
715,"boyd2013","simpson2002"
716,"keller2016","vesteinsson2001"
717,"keller2016","lucas2009"
718,"keller2016","vesteinsson2000"
719,"keller2016","gjerland2009"
720,"milek2012","mcgovern2007"
721,"milek2012","mcgovern2009"
722,"keller2016","edvardsson2005"
723,"nielsen2011","bertelsen1985"
724,"mainland2018","zori2013"
725,"zori2013","byock2001"
726,"frei2015","roesdahl2005"
727,"zori2013","harris2010"
728,"price2018","kirch2007"
729,"glorstad2014","larsen2001a"
730,"sutherland2009","murray1983"
731,"sutherland2009","kars1983"
732,"milek2013","krivogorskaya2005"
733,"milek2013","simpson2003"
734,"frei2015","mcgovern1996"
735,"frei2015","dugmore2005"
736,"frei2015","mcgovern1985"
737,"frei2015","vesteinsson2002"
738,"frei2015","enghoff2003"
739,"frei2015","mcgovern2014"
740,"frei2015","hreinsson1997"
741,"frei2015","smiarowski2014"
742,"ashby2015","oye2001"
743,"arneborg2012","privat2002"
744,"arneborg2012","jay2006"
745,"vesteinsson2012","vesteinsson2006"
746,"arneborg2012","frei2015"
747,"schmid2017","lucas2009"
748,"lucas2007","bruun1928"
749,"macphail2016","myhre2004"
750,"raffield2016","harrison2010"
751,"zori2013","hughes1994"
752,"frei2015","mcgovern2007"
753,"keller2016","gronvold1995"
754,"sutherland2009","ogilvie2001"
755,"sutherland2009","enghoff2003"
756,"sutherland2009","jones2004"
757,"sindbaek2016","lowe2008"
758,"zoega2017","roberts2000"
759,"vesteinsson2012","dugmore2005"
760,"milek2013","zielinski1997"
761,"schmid2017","vesteinsson2012"
762,"frei2015","perdikaris2007"
763,"schmid2017","gronvold1995"
764,"sutherland2015","roussell1941"
765,"svensson2018","sveinbjarnardottir1991"
766,"svensson2018","mahler2007"
767,"zori2013","perdikaris1999"
768,"zori2013","vesteinsson2002"
769,"zori2013","mcgovern1980"
770,"zori2013","mcgovern2009"
771,"zori2013","buckland2009"
772,"vesteinsson2012","fridriksson2004"
773,"vesteinsson2012","lucas2009"
774,"zori2013","sveinbjarnardottir2007"
775,"milek2012","sigurgeirsson2008"
776,"zori2013","amorosi1997"
777,"smith2018","sutherland2009"
778,"sutherland2009","mcghee1984"
779,"sutherland2009","sutherland2000"
780,"vesteinsson2012","gronvold1995"
781,"zori2013","mcgovern2005"
782,"dugmore2012","schmid2017"
783,"zori2013","einarsson1988"
784,"zori2013","haflidason1992"
785,"zori2013","roberts2000"
786,"aannestad2018","gullbekk2011"
787,"sutherland2015","wallace2003"
788,"fontaine2017","reynolds2009"
789,"price2006","knudson2012"
790,"knudson2012","clarke1991"
791,"linderholm2008","knudson2012"
792,"price2018","kalmring2017"
793,"raffield2019","hadley2016"
794,"lund2021","mcleod2011"
795,"mainland2018","lucas2007"
796,"magnell2010","gotfredsen2014"
797,"oehrl2017","helmbrecht2011"
798,"sanmark2013","barrett2004"
799,"raninen2014","price2008"
800,"lund2008","sindbaek2007"
801,"sanmark2013","byock2001"
802,"henriksen2014","jorgensen2009"
803,"kemmers2011","gansum2004"
804,"kemmers2011","kilger2008"
805,"kemmers2011","myrberg2009"
806,"kemmers2011","myrberg2008"
807,"milek2013","wilson2008"
808,"devos2013","loveluck2006"
809,"devos2013","simpson2005"
810,"wouters2016","stylegar2007"
811,"wouters2016","skre2008"
812,"wouters2016","hodges1982"
813,"wouters2016","pilo2007"
814,"croix2015","milek2007"
815,"price2010","carver2015"
816,"fabech2013","carver2015"
817,"price2018","carver2015"
818,"carver2015","price2002"
819,"carver2015","sindbaek2007"
820,"carver2015","hedeager2011"
821,"devos2013","milek2013"
822,"devos2013","wallace1992"
823,"macphail2013","carver1998"
824,"macphail2013","nicolaysennda"
825,"skre2011a","milek2007"
826,"croix2019","skre2011"
827,"croix2019","courty1989"
828,"croix2019","stoops2003"
829,"croix2019","milek2007"
830,"croix2019","macphail2010"
831,"croix2019","macphail2003"
832,"buckberry2014","holst2014"
833,"milek2013","jochens1995d"
834,"milek2013","jochens1998"
835,"milek2013","nielsen1991"
836,"milek2012","jochens1995d"
837,"croix2019","devos2009"
838,"croix2019","ge1993"
839,"croix2019","langohr1994"
840,"carver2015","tys2010"
841,"milek2012","stoops2003"
842,"milek2012","courty1989"
843,"devos2013","wouters2016"
844,"milek2012","macphail2016"
845,"pedersen2017","clarke1995"
846,"macphail2013","sorensen2007"
847,"croix2019","weiner2010"
848,"croix2019","karkanas2018"
849,"macphail2013","macphail2016"
850,"eriksen2013","rodsrud2007"
851,"croix2019","heimdahl2005"
852,"croix2019","nicosia2013"
853,"croix2019","pirenne1927"
854,"carver2015","henning2007"
855,"croix2019","schiffer1987"
856,"skre2017","rolfsen1980"
857,"milek2013","smith2001"
